Batch ID,Batch Name,Day,S1,S2,S3,S4,S5,S6,S7,S8,S9
10,btech-CEE-2-A,Fri,[T] Building Material & Construction (HS),[T] Basic Env Engg and Ele Bio (KP),[T] Values & Ethics in Profession (AS),[T] Chemistry II (SN),--- LUNCH ---,[L:145] Building Design & Drawing (SS),[L:145] Building Design & Drawing (SS),[L:145] Building Design & Drawing (SS),

11,btech-CEE-2-B,Mon,[T] Values & Ethics in Profession (AS),[T] Chemistry II (SN),[T] Surveying (PY),[T] Building Material & Construction (HS),--- LUNCH ---,[L:145] Building Design & Drawing (SS),[L:145] Building Design & Drawing (SS),[L:145] Building Design & Drawing (SS),
11,btech-CEE-2-B,Tue,,[T] Thermodynamics & kinetics (SC),[T] Basic Env Engg and Ele Bio (KP),[T] Surveying (PY),--- LUNCH ---,[T] Chemistry II (SN),[T] Building Material & Construction (HS),,
11,btech-CEE-2-B,Wed,[T] Basic Env Engg and Ele Bio (KP),[T] Building Material & Construction (HS),[T] Chemistry II (SN),[T] Values & Ethics in Profession (AS),--- LUNCH ---,[L:113] Chemistry II Lab (SSD),[L:113] Chemistry II Lab (SSD),[L:113] Chemistry II Lab (SSD),
11,btech-CEE-2-B,Thu,[T] Chemistry II (SN),[T] Surveying (PY),[T] Building Material & Construction (HS),[T] Thermodynamics & kinetics (SC),--- LUNCH ---,[L:144] Enviromental Engineering Lab (KP),[L:144] Enviromental Engineering Lab (KP),[L:144] Enviromental Engineering Lab (KP),
11,btech-CEE-2-B,Fri,[T] Building Material & Construction (HS),[T] Basic Env Engg and Ele Bio (KP),[T] Values & Ethics in Profession (AS),[T] Chemistry II (SN),--- LUNCH ---,[L:128] Surveying Practice I (HS),[L:128] Surveying Practice I (HS),[L:128] Surveying Practice I (HS),

12,btech-FET-2-A,Mon,[T] Chemistry for Food (MAM),[T] Engineering Thermodynamics (SKD),[T] Biology for Engineers (Guest),[T] Chemistry for Food Lab  (MAM),--- LUNCH ---,[T] Unit Operation I (VK),,,
12,btech-FET-2-A,Tue,[T] Food Microbiology (AnS),[T] Chemistry for Food Lab  (MAM),[T] Engineering Thermodynamics (SKD),[T] Unit Operation I (VK),--- LUNCH ---,[T] Chemistry for Food (MAM),,,
12,btech-FET-2-A,Wed,[T] Unit Operation I (VK),[T] Food Microbiology (AnS),[T] Chemistry II (AM),[T] Biology for Engineers (Guest),--- LUNCH ---,[L:138] Microbiology of Food Lab (AnS),[L:138] Microbiology of Food Lab (AnS),[L:138] Microbiology of Food Lab (AnS),
12,btech-FET-2-A,Thu,[T] Chemistry for Food Lab  (MAM),[T] Chemistry for Food (MAM),[T] Unit Operation I (VK),[T] Chemistry II (AM),--- LUNCH ---,[T] Food Microbiology (AnS),,,
12,btech-FET-2-A,Fri,[T] Biology for Engineers (Guest),[T] Chemistry II (AM),[T] Food Microbiology (AnS),[T] Chemistry for Food (MAM),--- LUNCH ---,[T] Engineering Thermodynamics (SKD),,,

13,btech-EE-2-A,Mon,[T] Engineering Mechanics (TnS),[T] Biology for Engineers (Guest),[T] Mathematics-III (BKT),[T] Electric Circuit Theory (RK),--- LUNCH ---,,,,
13,btech-EE-2-A,Tue,[T] Biology for Engineers (Guest),[T] Electromagnetic Field Theory (GG),[T] Indian Contitution (AS),[T] Analog Electronics (AR),--- LUNCH ---,"[L:106] Analog Electronics Lab (AR,AB)","[L:106] Analog Electronics Lab (AR,AB)","[L:115] Numerical Methods Laboratory(Gr-1) (TKO,SNM)","[L:115] Numerical Methods Laboratory(Gr-1) (TKO,SNM)"
13,btech-EE-2-A,Wed,[T] Electric Circuit Theory (RK),[T] Analog Electronics (AR),[T] Engineering Mechanics (TnS),[T] Electromagnetic Field Theory (GG),--- LUNCH ---,"[L:116] Electric Circuit Theory Lab (RK,AB)","[L:116] Electric Circuit Theory Lab (RK,AB)",,
13,btech-EE-2-A,Thu,[T] Indian Contitution (AS),[T] Mathematics-III (BKT),[T] Electric Circuit Theory (RK),[T] Engineering Mechanics (TnS),--- LUNCH ---,[T] Analog Electronics (AR),,,
13,btech-EE-2-A,Fri,[T] Electromagnetic Field Theory (GG),[T] Indian Contitution (AS),[T] Biology for Engineers (Guest),[T] Mathematics-III (BKT),--- LUNCH ---,[T] Electric Circuit Theory (RK),,,

14,btech-EE-2-B,Mon,[T] Engineering Mechanics (TnS),[T] Biology for Engineers (Guest),[T] Mathematics-III (BKT),[T] Electric Circuit Theory (RK),--- LUNCH ---,"[L:116] Electric Circuit Theory Lab (RK,AB)","[L:116] Electric Circuit Theory Lab (RK,AB)",,
14,btech-EE-2-B,Tue,[T] Biology for Engineers (Guest),[T] Electromagnetic Field Theory (GG),[T] Indian Contitution (AS),[T] Analog Electronics (AR),--- LUNCH ---,"[L:115] Numerical Methods Laboratory(Gr-1) (SuB,PPS)","[L:115] Numerical Methods Laboratory(Gr-1) (SuB,PPS)",,
14,btech-EE-2-B,Wed,[T] Electric Circuit Theory (RK),[T] Analog Electronics (AR),[T] Engineering Mechanics (TnS),[T] Electromagnetic Field Theory (GG),--- LUNCH ---,,,,
14,btech-EE-2-B,Thu,[T] Indian Contitution (AS),[T] Mathematics-III (BKT),[T] Electric Circuit Theory (RK),[T] Engineering Mechanics (TnS),--- LUNCH ---,[T] Analog Electronics (AR),,"[L:106] Analog Electronics Lab (AR,AB)","[L:106] Analog Electronics Lab (AR,AB)"
14,btech-EE-2-B,Fri,[T] Electromagnetic Field Theory (GG),[T] Indian Contitution (AS),[T] Biology for Engineers (Guest),[T] Mathematics-III (BKT),--- LUNCH ---,[T] Electric Circuit Theory (RK),,,

15,btech-CSE-2-A,Mon,"[L:124] IT Workshop (Gr-1) (SDM,SNM)","[L:124] IT Workshop (Gr-1) (SDM,SNM)",,[T] DSA (IW),--- LUNCH ---,,,,
15,btech-CSE-2-A,Tue,[T] Computer Organisation (SR),,[T] Analog & Digital Electronics (SrC),,--- LUNCH ---,,,,
15,btech-CSE-2-A,Wed,[T] Analog & Digital Electronics (SrC),[T] Linear Algebra (GH),[T] Economics (PS),[T] Computer Organisation (SR),--- LUNCH ---,"[L:115] DSA Lab (Gr-1) (IW,SNM)","[L:115] DSA Lab (Gr-1) (IW,SNM)","[L:106] Analog & Digital Electronics (Gr-1) (SrC,MA)","[L:106] Analog & Digital Electronics (Gr-1) (SrC,MA)"
15,btech-CSE-2-A,Thu,,[T] Computer Organisation (SR),[T] DSA (IW),[T] Economics (PS),--- LUNCH ---,,,"[L:124] IT Workshop (Gr-1) (SDM,SNM)","[L:124] IT Workshop (Gr-1) (SDM,SNM)"
15,btech-CSE-2-A,Fri,[T] DSA (IW),[T] Economics (PS),[T] Linear Algebra (GH),[T] Analog & Digital Electronics (SrC),--- LUNCH ---,"[L:123] Computer Organisation Lab (Gr-1) (SR,PPS)","[L:123] Computer Organisation Lab (Gr-1) (SR,PPS)","[L:115] DSA Lab (Gr-1) (IW,SNM)","[L:115] DSA Lab (Gr-1) (IW,SNM)"

16,btech-CSE-2-B,Mon,,,,[T] DSA (IW),--- LUNCH ---,"[L:115] DSA Lab (Gr-1) (BPT,SNM)","[L:115] DSA Lab (Gr-1) (BPT,SNM)",,
16,btech-CSE-2-B,Tue,[T] Computer Organisation (SR),,[T] Analog & Digital Electronics (SrC),,--- LUNCH ---,"[L:124] IT Workshop (Gr-1) (TKO,SNM)","[L:124] IT Workshop (Gr-1) (TKO,SNM)","[L:106] Analog & Digital Electronics (Gr-1) (RK,AK)","[L:106] Analog & Digital Electronics (Gr-1) (RK,AK)"
16,btech-CSE-2-B,Wed,[T] Analog & Digital Electronics (SrC),[T] Linear Algebra (GH),[T] Economics (PS),[T] Computer Organisation (SR),--- LUNCH ---,"[L:123] Computer Organisation Lab (Gr-1) (SR,PPS)","[L:123] Computer Organisation Lab (Gr-1) (SR,PPS)",,
16,btech-CSE-2-B,Thu,,[T] Computer Organisation (SR),[T] DSA (IW),[T] Economics (PS),--- LUNCH ---,"[L:115] DSA Lab (Gr-1) (BPT,SNM)","[L:115] DSA Lab (Gr-1) (BPT,SNM)",,
16,btech-CSE-2-B,Fri,[T] DSA (IW),[T] Economics (PS),[T] Linear Algebra (GH),[T] Analog & Digital Electronics (SrC),--- LUNCH ---,"[L:124] IT Workshop (Gr-1) (TKO,SNM)","[L:124] IT Workshop (Gr-1) (TKO,SNM)",,

17,btech-ME-3-A,Mon,[T] Effe. Technical Communication (CD),[T] Solid Mechanics (MJK),[T] Kinematics & TOM (HbR),[T] Heat Transfer (MJK),--- LUNCH ---,,,,
